33,12 Agustus 2024,3462/TU.01.02/PPA,DP3AKB Kota Bandung,"Undangan Kegiatan Penggerakan dan Pemberdayaan Masyarakat dalam Pencegahan Kekerasan terhadap Perempuan dan Anak(KtPA) dan TPPO dengan tema :""Cegah Bersama Bahaya Tindak Pidana Perdagangan Orang:"" ",Dihadiri oleh Turni
,,,,,
34,27 Agustus 2024,2383/MM.01/VIII/2024,Komnas Perempuan,,
,,,,,
35,21 September 2024,4160/PSM.16.01/PPA,DP3AKB Kota Bandung,"Permohonan Moderator untuk Kegiatan Pertemuan Koordinasi dan Kerjasama Lintas Sektor dalam Pencegahan Kekerasan terhadap Perempuan dan Anak(KtPA) dan TPPO dengan tema "" Akhiri Kekerasan terhadap Perempuan dan Anak""",Bu Selly sebagai moderator
,,,,,
36,21 September 2024,4156/TU.01.02/PPA,DP3AKB Kota Bandung,"Undangan Kegiatan Pertemuan Koordinasi  dan Kerjasama Lintas Sektor dalam Pencegahan Kekerasan terhadap Perempuan dan Anak (KtPA) dan TPPO dengan tema "" Akhiri Kekerasan terhadap Perempuan dan Anak""",Bu Turni dan Kak Tifa hadir
,,,,,
37,24 September 2024,S/TU.01.02/1364-DP3A/EX/2024,DP3A Kota Bandung,Permohonan Data Kekerasan Terhadap Perempuan,
38,01 Oktober 2024,B - 10348/UN40.A5.1/PK.01.06/2024,Fak. Pendidikan Teknik dan Industri UPI Bdg,permohonan observasi/pencarian data,
39,07 Oktober 2024,1599/IT1.B03/LK/2024,ITB,Undangan membahas rencana kerjasama antara satgas PPKS ITB dan Yayasan JaRI (10 Oktober 2024 di ruang rapat lt 1 ged. CC Timur ITB kampus Ganesa),
,,,,,
40,22 Oktober 2024,310/MM.01/X/2024,Komnas Perempuan,Rujukan Kasus an Alfia Putri SAlsabila,
,,,,,
41,31 Oktober 2024,S/TU.01.02/1619-DP3A/X/2024,DP3A Kota Bandung,Undangan Pertemuan Steakholder dalam Penangan Kekerasan Perempuan dan Anak,Bu Turni
,,,,,
42,1 November 2024,B/PA.01.08/3920-DP3A?XI?2024,PJ Sekda,Undangan Diseminasi Profil Gender dan Anak Kota  Bandung Tahun 2024 (08 Nov 2024),Bu Turni hadir
,,,,,
43,8 November 2024,3370/MM.01/XI/2024,Komnas Perempuan,Rujukan Kasus an  Dea Ayuni Nadziira,
,,,,,
44,8 November 2024,2301/FP-MP/UKM/XI/2024,Universitas Maranatha,Permohonan Pengambilan Data PKPP,
,,,,,
45,9 November 2024,9746/UN6.A/KM.04.02/2024,UNPAD - Fak. Hukum,"Permohonan sebagai pembicara ""kegiatan 16 hari Anti Kekerasan Terhadap Perempuan"" (Talkshow) - Sabtu 30 Nov 2024 di Auditorium Tommy Koh Fak. Hukum UNPAD Jatinangor ",Bu Sely akan hadir
,,,,,
46,14 November 2024,,Telkom University,"Permohonan pengambilan data awal ""kegiatan perkuliahan mata kuliah komunikasi sosial dan SDGs - Studi Ilmu Komunikasi",bu Turni follow up di WAG hotline
,,,,,
47,18 November 2024,6227/TU.01.02/PPA,DP3AKB,Undangan FGD RAD,Bu Turni hadir
48,20 November 2024,,Fak. Psikologi Maranatha,Asesment Psikologis profrsi klinis - praktek kerja ,
49,23 November 2024,B/TU.01.02/1755-DP3A/XI/2024,DP3A,"Undangan Pembahasan RUU Perlindungan Perempuan, Senin 25 Nov2024",Bu Turni hadir
50,26 November 2024,183/Sekwil/KPI-Jabar/XI/2024,Yayasan Gemilang Sehat Indonesia,"Undangan  Temu Jejaring Menyusun Masukan Komprehensif untuk Rancangan Aksi Daerah (RAD) Pemberdayaan dan Pelindungan Perempuan di Jawa Barat, 30 November 2024 di Grand Dafam hotel, Jl. Braga Bandung",Bu Turni hadir
51,03 Desember 2024,3703/M.A.00.01/XII/2024,Komnas Perempuan,Undangan Peserta Aktif dalam Peluncuran Laporan Pemantauan Femisida 2024,
52,06 Desember 2024,email 6 desember 2024 ke jarirelawanindependen@yahoo.com,Girl Up UNPAD,"Permohonan Kolaborasi Program Community Impact: Letters of Hope
",akan difollow up bu Sely-akan diajak meeting 14Des24
,,,,,
53,26 Desember 2024,107/SK/LBH/BDG/XII/2024,LBH Bandung,Undangan Peluncuran  CATAHU 2024,
,,,,,
54,26 Desember 2024,S/TU.01.02/1390-DP3A/XII/2024,DP3A KOta Bandung,Permohonan Data Kekerasan terhadap Perempuan,
